month
10174.833
10168.546
10135.725
10130.325
10167.222
10176.466
10179.909
10185.755
10201.403
10203.735
10202.506
10198.313
10222.942
10240.685
10245.763
10265.084
10264.817
10270.194
10272.075
10277.916
10286.441
10287.768
10293.959
10305.404
10313.876
10316.913
10325.445
10316.727
10309.296
10310.511
10313.147
10312.032
