RF
0.0657905
0.0641947
0.0669450
0.0688545
0.0671095
0.0649381
0.0622045
0.0629857
0.0620857
0.0602955
0.0587500
0.0580864
0.0554450
0.0557474
0.0564727
0.0563762
0.0565250
0.0549636
0.0546136
0.0534190
0.0480667
0.0453000
0.0482737
0.0464500
0.0472211
0.0499895
0.0523261
0.0518455
0.0553950
0.0589955
0.0579190
0.0593909
0.0591524
0.0611200
0.0603400
0.0627545
0.0666100
0.0651950
0.0625652
0.0599053
0.0644045
0.0609727
0.0605400
0.0582609
0.0579900
0.0573857
0.0571714
0.0524050
0.0516095
0.0509895
0.0488545
0.0514100
0.0539136
0.0528429
0.0523619
0.0497130
0.0473176
0.0456682
0.0465150
0.0508750
0.0503571
0.0491158
0.0528400
0.0521091
0.0516455
0.0492650
0.0465318
0.0425727
0.0387000
0.0394091
0.0404842
0.0403238
0.0404857
0.0390263
0.0380714
0.0395857
0.0356905
0.0333429
0.0397545
0.0444524
0.0427429
0.0429045
0.0430000
0.0426773
0.0415050
0.0408421
0.0382652
0.0434762
0.0471550
0.0473381
0.0449810
0.0428136
0.0412571
0.0409700
0.0419400
0.0423091
0.0422150
0.0416526
0.0449773
0.0434095
0.0414429
0.0399818
0.0417750
0.0426261
0.0419905
0.0446350
0.0453500
0.0446714
0.0441600
0.0456895
0.0472391
0.0499053
0.0511000
0.0510636
0.0508750
0.0487652
0.0471900
0.0472905
0.0459524
0.0456450
0.0475952
0.0472263
0.0456455
0.0469381
0.0474636
0.0510286
0.0500429
0.0467478
0.0452158
0.0452773
0.0414850
0.0409750
0.0374429
0.0373750
0.0351000
0.0367500
0.0388000
0.0409952
0.0400773
0.0388571
0.0368619
0.0381409
0.0352667
0.0241636
0.0251750
0.0287000
0.0281955
0.0292714
0.0329300
0.0372182
0.0356227
0.0358714
0.0340190
0.0338762
0.0340263
0.0359000
0.0373316
0.0369105
0.0372739
0.0384682
0.0342000
0.0320409
0.0301143
0.0269864
0.0264762
0.0254000
0.0276300
0.0329091
0.0339400
0.0357632
0.0341435
0.0345500
0.0316857
0.0300227
0.0300300
0.0230304
0.0197524
0.0215200
0.0201350
0.0197810
0.0196650
0.0196750
0.0217273
0.0205286
0.0180318
0.0162238
0.0152667
0.0167826
0.0172316
0.0174619
0.0165400
0.0171900
0.0191476
0.0198421
0.0195750
0.0175909
0.0192818
0.0230000
0.0258227
0.0273727
0.0280950
0.0261591
0.0271842
0.0290190
0.0285810
0.0270947
0.0272333
0.0270524
0.0255905
0.0259857
0.0254227
0.0242000
0.0253429
0.0230409
0.0232556
0.0220727
0.0188150
0.0197526
0.0204273
0.0193500
0.0219750
0.0236364
0.0232455
0.0216714
0.0217286
0.0207000
0.0226316
0.0224273
0.0208526
0.0177950
0.0188909
0.0180524
0.0180619
0.0164409
0.0150400
0.0155652
0.0163048
0.0176450
0.0214200
0.0249190
0.0243250
0.0241895
0.0248174
0.0229737
0.0230364
0.0218682
0.0231800
0.0220913
0.0220200
0.0236000
0.0235333
0.0240250
0.0258381
0.0285895
0.0284238
0.0286905
0.0297773
0.0291238
0.0288905
0.0288913
0.0300421
0.0315227
0.0311700
0.0283263
0.0271381
0.0267632
0.0257095
0.0253238
0.0239500
0.0207400
0.0205909
0.0162636
0.0169950
0.0170682
0.0181211
0.0186286
0.0175762
0.0150421
0.0087000
0.0065762
0.0067400
0.0072864
0.0062364
0.0065000
0.0067952
0.0078714
0.0087000
0.0093364
0.0108105
0.0125789
0.0161087
0.0163500
0.0162100
0.0151909
0.0131857
0.0128318
0.0137476
0.0158250
0.0155950
0.0146500
0.0176400
0.0193421
0.0212783
0.0274750
0.0289810
0.0314333
0.0289600
0.0289783
0.0351905
0.0398350
0.0389100
0.0361619
