VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
2GCEC19T4412,2,G,C,E,C,1,9,T,4,4,1,2,5,1,2,20,481,31,5,2,0,0,998,1,0,0,0,0,0,0,0,0,0,0,11,12,0,6,3,2,0,0,0,1,0,12,0,12,63,0,0,0,0,17,0,0,1,0,50020,0,20481,2004,SC1,SIL,4C,000000000,G,00000000000,1435,1575,,,2,1,0,5,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,71,1,0,0,0,0,72112,1,17,9,45,12,2,3
1J4FY19PXPP2,1,J,4,F,Y,1,9,P,X,P,P,2,5,2,1,2,403,14,5,2,0,0,998,1,0,0,0,0,0,0,0,0,0,0,11,12,0,6,1,2,0,0,0,98,1,12,1,65,12,63,34,0,0,17,0,0,1,0,50020,0,2403,1993,W/S,W/Y,2W,000000000,G,00000000000,934,0,,,1,1,0,5,1,6,0,0,3,3,0,0,0,0,0,5,0,1,0,4,1,28,0,0,0,195,68,1,0,0,2008,2006,72521,1,17,9,45,12,2,3
4T1SK12E0SU5,4,T,1,S,K,1,2,E,0,S,U,5,5,3,1,49,40,4,5,2,0,0,998,1,0,0,0,0,0,0,0,0,0,0,12,12,0,2,1,9,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,50020,0,49040,1995,CLE,***,4D,000000000,*,00000000000,1031,0,,3086,,1,0,5,1,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,140,69,1,0,0,0,0,72112,1,17,9,45,12,2,3
1FMCU12T2KUA,1,F,M,C,U,1,2,T,2,K,U,A,5,1,1,12,401,14,5,2,2,0,998,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,1,0,1,1,64,63,1,1,1,0,17,0,0,1,0,50021,0,12401,1989,BII,***,UT,000000000,*,00000000000,940,0,,2997,,1,0,5,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,120,64,0,0,0,0,0,71837,1,17,13,55,1,0,1
3JBEPWH198J0,3,J,B,E,P,W,H,1,9,8,J,0,5,1,2,98,739,90,92,0,0,0,998,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,1,1,0,0,0,1,0,12,1,12,0,0,0,0,0,17,0,0,1,0,50022,0,98739,2008,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,1,0,5,1,6,0,0,3,3,93,0,0,0,0,0,0,0,0,0,0,18,0,0,0,232,65,0,0,0,0,0,71665,1,17,18,15,12,1,2
2BVEPPJ197V0,2,B,V,E,P,P,J,1,9,7,V,0,5,2,1,98,739,90,92,0,0,0,998,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,1,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,50022,0,98739,2007,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,1,0,5,1,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,163,68,0,0,0,0,0,71665,1,17,18,15,12,1,2
1NXBR12E52Z5,1,N,X,B,R,1,2,E,5,2,Z,5,5,1,1,49,32,4,27,2,1,0,998,1,0,0,0,0,0,0,0,5,0,0,12,12,0,6,1,2,0,0,0,17,0,1,1,63,34,32,1,0,0,17,0,0,1,0,50023,0,49032,2002,UCS,***,4D,000000000,*,00000000000,970,0,,2405,,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,999,999,0,0,0,0,0,72601,1,18,21,49,1,0,1
1GKCS13W3X25,1,G,K,C,S,1,3,W,3,X,2,5,5,1,1,23,401,14,5,2,0,0,998,1,0,0,0,0,0,0,1,0,0,0,12,12,0,2,1,1,0,0,0,1,0,8,0,8,0,0,0,0,0,17,0,0,1,0,50024,0,23401,1999,JMY,JMY,4W,000000000,G,00000000000,1070,0,,,1,1,0,5,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,185,72,0,0,0,0,0,72324,1,19,0,2,8,0,1
1FTRX17L42NA,1,F,T,R,X,1,7,L,4,2,N,A,5,1,1,12,481,31,5,1,1,0,998,1,0,0,0,0,0,0,0,1,0,0,3,3,7,6,3,2,0,0,0,1,0,12,0,12,1,12,0,0,0,17,0,0,1,0,50025,0,12481,2002,F15,COF,4C,000000000,G,00000000000,1385,1571,,,2,1,0,5,1,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,66,0,0,0,0,0,71837,1,21,14,32,12,4,3
2G2WP5223411,2,G,2,W,P,5,2,2,3,4,1,1,5,2,1,22,20,4,5,3,1,0,998,1,0,0,0,0,0,0,0,5,0,0,12,13,0,6,2,2,0,0,0,13,0,12,1,12,1,0,0,0,0,17,0,0,1,0,50025,0,22020,2004,GPG,***,4D,000000000,*,00000000000,1105,0,,3477,,1,0,5,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,64,0,0,0,0,0,71837,1,21,14,32,12,4,3
