STATE,VEH_NO,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,LOCATION,DRINKING,ALC_DET,ATST_TYP,ALC_RES,ALC_STATUS,DRUGS,DSTATUS,DRUG_DET,DRUGTST1,DRUGRES1,DRUGTST2,DRUGRES2,DRUGTST3,DRUGRES3,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,RACE,HISPANIC,P_CF1,P_CF2,P_CF3,WORK_INJ,DOA,ST_CASE,DEATH_YR,DEATH_TM,CERT_NO,MAKE,BODY_TYP,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,COUNTY,MONTH,DAY,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VE_FORMS
48,1,1,0,51,1,1,11,3,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481032,8888,8888,************,12,4,0,0,5,0,12,12,1,0,12016,2007,CVP,***,4D,1146,0,,4129,,29,5,28,5,51,11,8,0,0,1
48,0,1,1,53,1,5,0,0,0,8,0,0,13,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,0,5,28,0,44,0,8,99,99,4,0,0,9,7,481033,2009,44,************,,,,,,,,,,,,,,,,,,,,,439,5,28,0,36,11,8,0,0,1
48,1,1,0,38,1,1,11,3,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481033,8888,8888,************,7,30,0,0,0,0,12,12,1,0,7472,1991,DAK,DAK,PC,1309,0,,,1,439,5,28,0,36,11,8,0,0,1
48,1,1,0,30,1,1,11,3,20,0,0,0,0,1,1,1,20,2,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481034,8888,8888,************,23,31,0,0,0,0,12,12,1,0,23481,1998,SC1,SIE,PK,1175,1315,,,2,5,5,29,23,50,2,12,2,0,2
48,2,1,0,47,1,1,11,3,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,1,5,30,1,0,1,10,2,7,0,0,0,9,0,481034,2009,100,************,6,4,0,0,0,0,12,12,2,0,6043,2001,SLX,***,4D,1080,0,,3175,,5,5,29,23,50,2,12,2,0,2
48,2,2,0,29,2,2,13,3,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,0,5,30,0,20,0,30,99,99,0,0,0,9,7,481034,2009,20,************,6,4,0,0,0,0,12,12,2,0,6043,2001,SLX,***,4D,1080,0,,3175,,5,5,29,23,50,2,12,2,0,2
48,2,3,0,7,1,2,21,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481034,8888,8888,************,6,4,0,0,0,0,12,12,2,0,6043,2001,SLX,***,4D,1080,0,,3175,,5,5,29,23,50,2,12,2,0,2
48,2,4,0,4,1,2,23,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,1,6,4,5,23,125,33,99,99,0,0,0,0,0,481034,2009,523,************,6,4,0,0,0,0,12,12,2,0,6043,2001,SLX,***,4D,1080,0,,3175,,5,5,29,23,50,2,12,2,0,2
48,1,1,0,41,1,1,11,0,1,1,9,0,0,1,1,1,25,2,8,0,8,0,0,0,0,0,0,4,1,5,29,14,0,3,32,2,7,0,0,0,9,0,481035,2009,1400,************,13,4,1,0,0,0,12,12,1,0,13001,1996,EXC,***,4D,1174,0,,4040,,441,5,29,10,28,11,24,0,0,1
48,1,1,0,54,1,1,11,0,20,2,9,0,0,1,1,1,33,2,1,2,1,1,321,1,351,0,0,4,0,5,30,16,39,0,0,1,99,0,0,0,9,7,481036,2009,1639,************,20,31,0,0,0,0,9,9,1,0,20481,1996,GC1,GM4,PC,1415,1555,,,2,245,5,30,16,39,4,38,0,0,1
48,0,1,1,24,1,5,0,0,0,8,0,0,4,8,9,1,97,2,8,2,8,1,997,0,0,0,0,4,0,5,30,5,23,1,48,1,6,4,0,0,9,7,481037,2009,523,************,,,,,,,,,,,,,,,,,,,,,487,5,30,3,35,16,8,0,0,1
48,1,1,0,999,9,1,11,99,99,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,9,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481037,8888,8888,************,20,15,0,0,0,0,12,12,1,0,20421,2002,KTA,***,UT,1160,0,,5050,,487,5,30,3,35,16,8,0,0,1
48,1,1,0,42,1,1,11,3,1,2,9,0,0,1,8,1,22,2,8,2,8,1,407,1,402,0,0,4,0,5,31,2,30,0,10,1,6,0,0,0,9,7,481038,2009,230,************,20,31,1,0,0,0,12,12,1,0,20482,2002,KAV,AVL,CW,1300,0,,,2,29,5,31,2,20,11,39,0,0,1
48,1,2,0,36,1,2,13,0,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481038,8888,8888,************,20,31,1,0,0,0,12,12,1,0,20482,2002,KAV,AVL,CW,1300,0,,,2,29,5,31,2,20,11,39,0,0,1
48,1,1,0,20,1,1,11,3,1,0,0,0,0,1,1,1,21,2,8,0,8,0,0,0,0,0,0,4,0,5,31,3,35,1,5,1,6,0,0,0,9,7,481039,2009,335,************,20,31,0,0,0,0,9,9,2,0,20481,2004,SC1,SIL,4C,1435,1575,,,2,255,5,31,2,30,4,12,5,0,2
48,2,1,0,29,1,1,11,3,1,0,0,0,0,1,1,1,25,2,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481039,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2000,F3D,DRW,4C,1580,0,,,3,255,5,31,2,30,4,12,5,0,2
48,1,1,0,70,1,1,11,3,1,0,0,0,0,8,9,1,97,2,8,2,8,1,997,0,0,0,0,4,0,6,1,13,30,1,23,1,99,0,0,0,9,7,481040,2009,1330,************,7,31,0,0,0,0,12,12,1,0,7482,2009,SQ2,RPC,CW,1405,1605,,,2,397,6,1,12,7,1,14,1,0,1
48,1,1,0,33,1,1,11,99,0,0,0,0,0,8,9,1,0,2,8,2,8,1,1,0,0,0,0,4,0,6,5,10,55,0,25,1,6,0,0,0,9,7,481041,2009,1055,************,37,2,0,0,0,0,10,10,1,0,37031,1990,CSI,***,2H,906,0,,2174,,29,6,5,10,30,16,42,0,0,1
48,1,1,0,40,1,1,11,0,0,8,0,0,0,8,9,1,18,2,8,2,8,1,407,1,996,0,0,4,0,6,5,1,8,0,18,1,6,0,0,0,9,7,481042,2009,108,************,72,80,0,0,0,0,12,12,1,0,72706,2007,FLF,***,RS,,,1584,,,29,6,5,0,50,11,24,0,0,1
48,1,2,0,35,2,2,21,0,0,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481042,8888,8888,************,72,80,0,0,0,0,12,12,1,0,72706,2007,FLF,***,RS,,,1584,,,29,6,5,0,50,11,24,0,0,1
48,1,1,0,33,1,1,11,3,20,0,0,0,0,1,1,1,24,2,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481043,8888,8888,************,12,14,0,0,0,0,12,12,1,0,12401,1994,EPR,***,UT,1120,0,,3863,,149,6,6,9,45,4,42,0,0,1
48,1,2,0,63,2,2,13,0,20,0,0,0,0,8,9,1,24,2,8,0,8,0,0,0,0,0,0,4,0,6,6,10,46,1,1,99,99,15,0,0,9,7,481043,2009,1046,************,12,14,0,0,0,0,12,12,1,0,12401,1994,EPR,***,UT,1120,0,,3863,,149,6,6,9,45,4,42,0,0,1
48,1,1,0,45,1,1,11,5,0,8,0,0,0,8,9,1,12,2,8,2,8,1,1,0,0,0,0,4,0,6,7,1,44,0,14,1,6,0,0,0,9,7,481044,2009,144,************,72,80,0,0,0,0,12,12,1,0,72706,2003,20A,***,RS,,,1200,,,29,6,7,1,30,16,12,5,0,2
48,2,1,0,23,1,1,11,3,20,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481044,8888,8888,************,20,16,0,0,0,0,8,8,2,0,20431,1993,C15,***,UT,1315,0,,4677,,29,6,7,1,30,16,12,5,0,2
48,2,2,0,31,2,2,13,3,20,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481044,8888,8888,************,20,16,0,0,0,0,8,8,2,0,20431,1993,C15,***,UT,1315,0,,4677,,29,6,7,1,30,16,12,5,0,2
48,1,1,0,41,2,1,11,0,20,1,9,0,0,1,1,1,17,2,8,2,8,1,996,0,0,0,0,4,1,6,8,1,30,1,5,1,7,0,0,0,9,8,481045,2009,130,************,20,14,2,0,0,0,0,0,0,0,20402,1998,C15,***,UT,1315,0,,4825,,213,6,8,0,25,4,1,0,0,1
48,1,1,0,48,1,1,11,0,0,8,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,1,3,21,7,24,563,56,1,99,0,0,0,0,0,481046,2009,724,************,72,80,0,0,0,0,12,12,1,0,72706,2007,FCI,***,RS,,,1584,,,423,2,25,19,28,13,12,1,0,2
48,2,1,0,55,1,1,11,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,481046,8888,8888,************,86,63,0,0,0,0,6,6,2,0,86898,1979,999,999,99,9999,9999,9999,9999,9,423,2,25,19,28,13,12,1,0,2
48,1,1,0,51,1,1,11,0,1,1,9,0,0,1,9,0,96,0,8,0,8,0,0,0,0,0,0,4,0,2,26,23,45,0,54,1,99,0,0,0,0,7,481047,2009,2345,************,55,4,9,0,0,0,0,0,0,0,55033,2000,SGL,***,4D,1063,0,,3069,,329,2,26,22,51,3,1,0,0,1
48,0,1,2,29,2,6,0,0,0,8,0,0,2,8,9,99,99,9,8,9,8,9,999,9,999,9,999,4,1,4,11,12,10,289,24,99,99,0,0,0,9,0,481048,2009,1210,************,,,,,,,,,,,,,,,,,,,,,201,3,30,10,46,16,12,5,0,3
48,1,1,0,37,1,1,11,0,0,2,9,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,0,0,7,1,12,12,1,0,98884,2008,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
