STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,59,1,26,13,30,1,1,0,1,4,3,0,34,0,1,4,1,2,55,2,1,2,1,0,0,1,1,0,0,99,99,13,40,88,88,0,0,0,0,1,2,0,10022,0,2009,2802,SR-13,99999999999999999999,0000000,34.31823889,-87.69606944,1,1
1,73,1,2,12,37,2,3,0,0,15,4,0,12,5,2,1,1,2,35,2,2,2,2,20,3,1,1,0,0,99,99,12,45,99,99,0,0,0,0,1,6,0,10023,1716,2009,0,1258,15170,0000000,33.37634167,-86.80499444,2,1
1,73,1,13,10,25,2,4,0,0,14,2,0,12,5,2,1,1,6,40,1,1,2,1,3,3,1,1,0,0,99,99,10,27,88,88,0,0,0,0,1,3,0,10024,350,2009,0,US-SR 7,04682,0000000,33.61217222,-86.68755833,2,1
1,73,1,16,16,50,4,8,0,0,15,4,0,12,5,1,1,1,2,40,1,1,2,1,0,0,1,1,0,0,99,99,16,57,99,99,0,0,0,0,1,6,0,10025,0,2009,0,1229,99999999999999999999,0000000,33.65399167,-86.64053889,4,1
1,125,1,12,14,35,3,3,0,0,4,3,0,12,1,1,1,1,2,55,1,2,2,1,0,0,1,1,0,0,99,99,15,0,88,88,0,0,0,0,1,2,0,10026,0,2009,198,SR-216,99999999999999999999,0000000,33.288325,-87.19591111,3,1
1,89,1,9,20,3,1,1,0,0,15,6,0,42,0,1,4,1,2,35,2,2,2,1,0,0,2,1,0,0,99,99,20,15,99,99,0,0,0,0,1,6,1,10027,1730,2009,0,5838,99999999999999999999,0000000,34.74193889,-86.55398889,1,1
1,49,1,19,9,34,1,1,0,0,6,6,0,1,0,1,1,1,2,25,1,1,2,1,0,0,1,1,0,0,99,99,9,40,99,99,0,0,0,0,1,2,0,10028,750,2009,0,5035,99999999999999999999,0000000,34.26292778,-85.85950278,1,1
1,97,1,4,15,0,2,4,1,0,14,4,0,12,1,1,1,1,2,40,1,1,2,1,0,0,1,1,0,0,99,99,15,15,99,99,0,0,0,0,1,1,0,10029,0,2009,0,1373,99999999999999999999,0000000,30.58891389,-88.20741944,2,1
1,3,1,17,1,15,2,4,0,1,1,1,0,12,1,1,1,2,2,70,1,1,2,1,0,0,2,1,0,0,99,99,1,23,99,99,0,0,0,0,1,7,2,10030,0,2009,405,I-10,99999999999999999999,0000000,30.65806944,-87.81749722,2,1
1,125,1,22,5,59,3,3,0,1,12,2,0,12,5,10,1,2,6,45,1,1,2,1,3,3,3,1,0,0,99,99,6,3,99,99,0,0,0,0,1,5,0,10031,2260,2009,0,US-SR 6,391,0000000,33.23907222,-87.576625,3,1
1,97,1,24,4,15,1,2,0,1,13,6,0,27,0,1,4,1,2,45,1,2,2,1,0,0,3,1,0,0,99,99,4,27,99,99,0,0,0,0,2,7,1,10032,2100,2009,0,1346,99999999999999999999,0000000,30.67623333,-88.13023056,1,1
1,97,1,27,10,0,2,4,0,0,13,6,0,12,5,2,1,2,2,45,1,1,2,1,0,0,1,1,0,0,99,99,10,3,99,99,0,0,0,0,1,3,1,10033,2100,2009,0,1346,9812,0000000,30.68704167,-88.21108333,2,1
1,97,1,4,16,37,1,1,0,1,11,1,0,24,0,13,4,6,1,65,2,2,1,1,0,0,1,1,0,0,99,99,16,40,99,99,0,0,0,0,1,1,1,10034,2100,2009,221,I-10,3306,0000000,30.64180278,-88.088025,1,1
1,3,1,5,18,57,1,2,1,0,2,3,0,8,0,1,1,1,2,45,1,1,2,1,0,0,3,1,0,0,99,99,19,2,99,99,0,0,0,0,1,2,0,10035,2355,2009,0,SR-182,99999999999999999999,0000000,30.26722222,-87.59698611,1,1
1,97,1,19,19,7,2,2,0,0,12,2,0,12,5,2,1,2,4,45,1,1,2,1,20,3,3,1,0,0,99,99,19,14,99,99,0,0,0,0,1,2,0,10036,2100,2009,0,US-SR 16,10520,0000000,30.66060278,-88.10890833,2,1
1,97,2,4,5,38,1,2,1,0,12,3,0,8,0,2,1,1,2,45,1,1,2,1,3,3,3,1,0,0,99,99,5,43,88,88,0,0,0,0,1,4,0,10038,2100,2009,0,SR-163,0613,0000000,30.60831944,-88.07486389,1,1
1,89,1,29,6,5,2,2,0,0,12,3,0,12,5,2,1,2,3,45,1,1,2,1,20,3,2,1,0,0,99,99,6,15,99,99,0,0,0,0,1,5,0,10039,0,2009,54,SR-255,42020,0000000,34.77898611,-86.67293333,2,1
1,125,1,29,11,24,2,3,0,1,12,2,0,12,5,10,1,2,2,35,1,1,2,1,3,3,1,1,0,0,99,99,11,29,99,99,0,0,0,0,1,5,0,10040,3050,2009,0,US-SR 13,888,0000000,33.26536389,-87.60261111,2,1
1,97,1,30,1,21,1,1,0,0,14,6,0,42,0,1,4,1,2,40,1,2,2,1,0,0,2,1,0,0,99,99,1,25,88,88,0,0,0,0,1,6,1,10041,2100,2009,0,6051,99999999999999999999,0000000,30.72925833,-88.16141667,1,1
1,123,2,1,13,30,2,3,0,0,4,3,0,12,2,1,1,1,2,55,2,2,2,1,0,0,1,1,0,0,99,99,13,50,99,99,0,0,0,0,1,1,0,10042,0,2009,32,SR-50,99999999999999999999,0000000,32.67088056,-85.88720833,2,1
1,19,1,31,19,0,2,4,0,0,3,3,0,12,2,1,1,1,2,55,1,2,2,1,0,0,2,1,0,0,99,99,19,9,99,99,0,0,0,0,1,7,0,10043,0,2009,2562,SR-9,99999999999999999999,0000000,34.12580278,-85.66460556,2,1
1,73,2,1,21,10,1,1,0,0,4,6,0,42,0,1,4,1,2,45,2,1,2,1,0,0,2,1,0,4,99,99,21,33,88,88,0,0,0,0,1,1,0,10044,9997,2009,0,1115,99999999999999999999,0000000,33.27780833,-86.94703611,1,1
1,51,2,2,6,30,2,2,0,0,4,4,0,12,8,1,1,1,2,45,1,2,2,1,0,0,1,1,0,0,99,99,6,35,99,99,0,0,0,0,1,2,0,10045,0,2009,0,1163,99999999999999999999,0000000,32.61892778,-85.95175278,2,1
1,83,2,3,12,52,1,1,0,0,6,4,0,42,0,1,4,1,2,45,1,1,2,1,0,0,1,1,0,0,99,99,12,57,88,88,0,0,0,0,1,3,1,10046,0,2009,0,1141,99999999999999999999,0000000,34.83116389,-87.165925,1,1
1,125,2,4,11,2,1,1,0,0,16,4,0,10,0,6,1,1,2,35,1,2,2,1,71,3,1,1,0,0,99,99,11,20,99,99,0,0,0,0,1,4,0,10047,0,2009,0,1104,7106,726135N,33.07533333,-87.58515833,1,1
1,15,2,4,3,40,1,1,0,0,14,3,0,34,0,1,4,5,2,55,2,1,2,1,0,0,2,1,0,0,99,99,3,55,88,88,0,0,0,0,1,4,1,10048,0,2009,40,SR-202,99999999999999999999,0000000,33.63788333,-85.903,1,1
1,121,2,4,15,19,1,5,0,0,15,6,0,33,0,1,4,1,2,25,1,3,2,1,0,0,1,1,0,0,99,99,15,24,99,99,0,0,0,0,4,4,0,10049,2910,2009,0,5264,99999999999999999999,0000000,33.45164167,-86.09004722,1,1
1,53,2,5,5,49,2,3,0,0,14,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,3,1,0,0,99,99,6,8,99,99,0,0,0,0,1,5,0,10050,0,2009,92,SR-21,99999999999999999999,0000000,31.11805833,-87.46945278,2,1
1,17,2,6,19,10,2,2,0,0,3,3,0,12,5,1,1,1,2,55,2,2,2,1,0,0,2,1,0,0,99,99,19,15,99,99,0,20,0,0,1,6,0,10051,0,2009,494,SR-50,99999999999999999999,0000000,32.85216389,-85.27100833,2,1
1,43,2,7,16,10,1,1,0,1,2,2,0,34,0,1,4,2,2,65,1,2,2,1,0,0,1,1,0,0,99,99,16,18,99,99,0,0,0,0,1,7,0,10052,0,2009,828,US-SR 74,99999999999999999999,0000000,34.18283889,-86.777175,1,1
1,95,2,7,14,40,2,2,0,0,4,4,0,12,5,2,1,1,2,45,1,2,2,1,0,0,1,1,0,0,99,99,15,2,88,88,0,0,0,0,1,7,1,10053,0,2009,0,1196,7740,0000000,34.38286111,-86.45410833,2,1
1,59,2,8,12,5,2,4,0,1,2,3,0,12,5,2,1,1,2,55,2,2,2,1,0,0,1,1,0,0,99,99,12,20,99,99,0,0,0,0,1,1,0,10054,0,2009,138,SR-24,7989,0000000,34.48874722,-87.94085278,2,1
1,117,2,10,0,25,1,1,0,0,16,6,0,42,0,2,4,1,2,20,1,2,2,1,20,3,3,1,0,0,99,99,0,49,88,88,0,0,0,0,1,3,1,10055,2405,2009,0,5296,269,0000000,33.31623611,-86.81696389,1,1
1,51,2,11,10,45,1,1,0,0,6,4,0,42,0,1,4,1,2,35,1,1,2,1,0,0,1,1,0,0,99,99,11,10,88,88,0,0,0,0,1,4,0,10056,0,2009,0,1074,99999999999999999999,0000000,32.55277222,-86.29195833,1,1
1,79,2,12,22,5,1,2,1,1,2,3,0,8,0,1,1,2,2,65,1,3,2,1,0,0,2,1,0,0,99,99,22,50,88,88,0,0,0,0,1,5,0,10057,0,2009,432,SR-157,99999999999999999999,0000000,34.55653056,-87.33085833,1,1
1,95,2,14,5,0,1,1,0,0,15,4,0,34,0,1,4,1,2,50,2,1,2,2,0,0,2,2,0,0,99,99,7,10,88,88,0,0,0,0,1,7,1,10058,0,2009,0,1152,99999999999999999999,0000000,34.23263056,-86.27696389,1,2
1,89,2,16,13,38,2,3,0,0,4,4,0,12,5,1,1,1,2,45,2,1,2,1,0,0,1,1,0,0,99,99,13,42,99,99,0,0,0,0,1,2,0,10059,0,2009,0,1088,99999999999999999999,0000000,34.88357222,-86.71714722,2,1
1,43,2,19,19,30,1,1,0,0,2,3,0,42,0,1,4,1,2,55,1,2,2,1,0,0,2,1,0,0,99,99,8,57,88,88,0,18,0,0,1,5,1,10060,0,2009,41,SR-67,99999999999999999999,0000000,34.22681389,-86.54694444,1,1
1,69,2,22,2,50,1,1,0,0,3,3,0,1,0,1,4,1,2,35,2,1,2,1,0,0,2,1,0,0,99,99,3,10,88,88,0,0,0,0,1,1,1,10061,0,2009,119,SR-95,99999999999999999999,0000000,31.15258889,-85.10035556,1,1
1,21,2,23,3,45,1,1,0,1,1,1,0,21,0,1,4,2,2,70,1,1,2,1,0,0,2,1,0,0,99,99,4,2,88,88,0,0,0,0,1,2,0,10062,0,2009,2144,I-65,99999999999999999999,0000000,32.91910278,-86.64666944,1,1
1,39,2,25,19,30,2,2,0,1,2,2,0,12,2,1,1,2,2,55,1,1,2,1,0,0,2,1,0,0,99,99,19,50,99,99,0,0,0,0,1,4,0,10063,2712,2009,0,US-SR 12,99999999999999999999,0000000,31.31379167,-86.40983056,2,1
1,109,2,25,0,2,1,1,0,1,2,2,0,42,0,1,4,2,2,65,1,1,2,1,0,0,2,1,0,0,99,99,0,9,99,99,0,0,0,0,1,4,1,10064,0,2009,844,US-SR 53,99999999999999999999,0000000,31.90630556,-86.01166111,1,1
1,49,2,20,15,28,2,2,0,1,2,3,0,12,5,2,1,9,2,65,1,3,2,1,5,3,1,1,0,0,99,99,15,32,99,99,0,0,0,0,1,6,0,10065,9997,2009,0,SR-35,25,0000000,34.444425,-85.7764,2,1
1,95,1,6,17,16,4,7,0,1,12,2,0,12,5,1,1,2,4,55,1,1,2,2,0,0,2,2,0,0,99,99,17,21,99,99,0,0,0,0,1,3,0,10066,400,2009,0,US-SR 1,99999999999999999999,0000000,34.22655,-86.161375,4,2
1,71,1,23,14,0,2,6,0,1,2,2,0,12,5,2,1,1,2,65,2,2,2,1,0,0,1,1,0,0,99,99,12,43,88,88,0,0,0,0,1,6,0,10067,480,2009,0,US-SR 2,8355,0000000,34.93648889,-85.75814444,2,1
1,53,1,31,2,49,1,2,0,0,15,6,0,30,0,1,4,1,2,35,2,1,2,1,0,0,3,1,0,0,99,99,2,55,99,99,0,0,0,0,1,7,1,10068,180,2009,0,1020,99999999999999999999,0000000,31.01256944,-87.49051389,1,1
1,73,3,4,17,11,2,3,0,0,15,4,0,12,5,2,1,1,2,35,2,1,2,1,20,3,1,1,0,0,99,99,16,44,99,99,0,20,0,0,1,4,0,10069,0,2009,0,5014,00179,0000000,33.44112778,-86.94271389,2,1
1,81,1,26,14,51,1,1,0,0,16,6,0,38,0,1,4,1,2,25,1,2,2,1,0,0,1,1,0,0,88,88,88,88,88,88,0,0,0,0,1,2,0,10070,200,2009,0,1672,99999999999999999999,0000000,32.55313889,-85.52884167,1,1
1,99,1,9,20,27,4,3,0,0,16,6,0,12,1,1,4,1,2,35,2,1,2,1,0,0,3,1,0,0,99,99,20,30,99,99,0,0,0,0,1,6,1,10071,2110,2009,0,5115,99999999999999999999,0000000,31.52156944,-87.33427222,2,1
1,101,1,10,20,21,1,2,1,0,14,2,0,8,0,1,1,2,2,45,2,1,2,2,0,0,3,2,0,0,99,99,20,24,99,99,0,0,0,0,1,7,0,10072,2130,2009,0,US-SR 3,99999999999999999999,0000000,32.3147,-86.35017778,1,2
1,17,2,23,12,25,1,1,0,1,2,2,0,34,0,1,4,1,2,55,1,1,2,1,0,0,1,1,0,0,99,99,12,40,99,99,0,0,0,0,1,2,0,10073,0,2009,1758,US-SR 1,99999999999999999999,0000000,33.09876944,-85.34415833,1,1
1,125,2,24,15,5,1,1,0,0,4,3,0,42,0,1,4,1,2,55,2,2,2,1,0,0,1,1,0,0,99,99,15,45,88,88,0,0,0,0,1,3,0,10074,0,2009,206,SR-216,99999999999999999999,0000000,33.28738333,-87.18295,1,1
1,125,2,19,16,15,2,2,0,0,14,3,0,12,2,1,1,1,2,45,1,1,2,1,0,0,1,1,0,0,99,99,16,25,99,99,0,0,0,0,1,5,0,10075,3050,2009,0,SR-216,99999999999999999999,0000000,33.19946111,-87.47367222,2,1
1,55,2,10,1,47,1,1,0,0,14,6,0,33,0,1,2,1,2,25,2,1,2,1,0,0,3,1,0,0,99,99,1,49,88,88,0,0,0,0,1,3,1,10076,1280,2009,0,5659,99999999999999999999,0000000,34.01498611,-86.00783611,1,1
1,73,2,12,5,50,2,6,0,1,11,1,0,12,1,1,1,3,2,60,1,1,2,1,0,0,2,1,0,0,99,99,6,10,99,99,0,0,0,0,1,5,0,10077,1110,2009,1185,I-20,99999999999999999999,0000000,33.48422778,-86.91891111,2,1
1,3,2,15,2,27,1,1,0,1,12,3,0,33,0,1,2,1,2,45,1,1,2,1,0,0,3,1,0,0,99,99,2,31,88,88,0,0,0,0,1,1,1,10078,1210,2009,0,SR-59,99999999999999999999,0000000,30.39057222,-87.68334444,1,1
1,69,2,16,0,4,1,1,0,1,12,2,0,32,0,1,4,2,2,55,2,2,2,1,0,0,2,1,0,0,99,99,0,11,88,88,0,0,0,0,1,2,1,10079,930,2009,0,US-SR 12,99999999999999999999,0000000,31.23836111,-85.50636667,1,1
